"","ISO.code","country","RefDate","mstatus","agegroup","G1.1_Using_Limit","G1.2_Using_Space","G2.1_Unmet_Limit","G2.2_Unmet_Space","G2.3_No_Unmet","G4.1_Unmet_Limit","G4.2_Unmet_Space","G4.3_No_Unmet","Missing","G5_total","G7.1_cp_limiting","G7.2_cp_space","G8.1_unmet_limit","G8.2_unmet_space","G8.3_unmet_total","G8.4_LUP","G7.3_cp_total","G7.4_cp_limiting_proportion","X","Major.area_d"
"38",170,"Colombia",2010.42191780822,"Married/In-union","[Total]",16072.26319,4686.537318,289.540886,522.821046,855.672934,882.578506,443.504485,1236.032276,0,26281.29412,0.611547632,0.178322167,0.044598998,0.036768567,0.081367566,0.548117636946397,0.789869799,0.774238529912447,45,"Latin America and the Caribbean"
"39",170,"Colombia",2015.65479452055,"Married/In-union","[Total]",11582.4384,3979.713279,139.541767,316.458863,572.321416,570.883916,326.604344,1071.515646,0,19232.6997,0.602226343,0.206924319,0.036938427,0.03343593,0.070374358,0.524884745662618,0.809150662,0.744269727854465,45,"Latin America and the Caribbean"
"40",174,"Comoros",1996.3306010929,"Married/In-union","[Total]",150,193,70,172,182,151,188,204,5,1634,0.091799266,0.118115055,0.135250918,0.220318237,0.355569155,0.380378657985674,0.209914321,0.437317785478772,46,"Africa"
"41",174,"Comoros",2012.7868852459,"Married/In-union","[Total]",159.793485,471.667405,50.913481,165.173283,398.768126,228.317713,610.358519,434.097459,13.197452,3261.033288,0.049000875,0.144637409,0.0856266,0.237817812,0.323444413,0.264733588086433,0.193638284,0.253053652344905,46,"Africa"
"42",178,"Congo",2005.70410958904,"Married/In-union","[Total]",360.619671,1401.288528,56.126372,310.657698,652.10608,163.343466,246.698842,486.703079,3.435578,3979.484984,0.090619684,0.35212811,0.055150312,0.140057455,0.195207767,0.2825210945628,0.442747794,0.204675630749727,47,"Africa"
"43",178,"Congo",2011.90136986301,"Married/In-union","[Total]",614.749171,2198.595127,80.677233,447.71624,1151.882123,148.459309,477.985138,385.103628,5.668434,6289.162177,0.097747387,0.34958474,0.036433556,0.147189936,0.183623492,0.198414459953741,0.447332127,0.218511886583098,47,"Africa"
"44",180,"Dem. Republic of the Congo",2007.35068493151,"Married/In-union","[Total]",479.324252,888.153661,178.439918,630.69223,1552.789507,285.468088,687.454467,892.169217,0,6622.296241,0.07238037,0.134115665,0.070052439,0.199046773,0.269099212,0.260321977457147,0.206496035,0.350516996609644,56,"Africa"
"45",180,"Dem. Republic of the Congo",2013.85753424658,"Married/In-union","[Total]",814.618211,1656.96618,255.026826,1247.013593,3376.036576,583.379457,1261.721937,1255.633926,0,12095.52877,0.067348706,0.136989975,0.069315389,0.207410158,0.276725547,0.250484242425221,0.204338681,0.329593524194276,56,"Africa"
"46",204,"Benin",1996.54371584699,"Married/In-union","[Total]",213.690444,474.979932,100.034445,304.38843,1132.305595,277.935442,479.138584,581.598186,0,4197.990506,0.050903032,0.113144594,0.090035908,0.186643351,0.276679259,0.325416181630008,0.164047626,0.310294231261841,22,"Africa"
"47",204,"Benin",2001.73150684932,"Married/In-union","[Total]",302.565857,545.806535,76.648031,298.76959,1216.906428,370.241869,528.808972,667.898048,0,4562.834563,0.066310942,0.119620058,0.097941289,0.181373782,0.279315071,0.350648064386042,0.185931,0.356642743813565,22,"Africa"
"48",204,"Benin",2006.74246575342,"Married/In-union","[Total]",907.61312,1372.738093,209.620002,788.144266,3709.992003,1121.312075,1538.193218,1855.348761,19.239744,13402.72333,0.06771856,0.102422326,0.099303108,0.173571999,0.272875107,0.363914133068943,0.170140886,0.398014619484231,22,"Africa"
"49",204,"Benin",2012.12841530055,"Married/In-union","[Total]",596.485133,914.330292,240.617195,554.718974,2663.824535,1100.713559,1907.178044,1597.93666,0,11680.36273,0.051067347,0.078279272,0.114836395,0.210772309,0.325608704,0.352682202868877,0.129346619,0.394810064575403,22,"Africa"
"50",214,"Dominican Republic",1991.71232876712,"Married/In-union","[Total]",1858.625082,443.647972,140.558884,185.198542,297.972987,280.065734,186.071311,310.255449,0,4083.397317,0.455166357,0.108646781,0.103008496,0.090921805,0.193930301,0.531162461300981,0.563813138,0.807300018964794,60,"Latin America and the Caribbean"
"51",214,"Dominican Republic",1996.81693989071,"Married/In-union","[Total]",2473.979612,698.76406,77.262326,225.114604,346.034294,223.456047,184.383593,342.22548,0,4982.7249,0.496511379,0.140237335,0.060352193,0.082183585,0.142535778,0.423417852323365,0.636748714,0.77976031687753,60,"Latin America and the Caribbean"
"52",214,"Dominican Republic",2002.73424657534,"Married/In-union","[Total]",7689.442209,2074.652861,213.605183,463.218313,679.853451,552.548631,507.102203,793.710888,0,13996.09749,0.549399017,0.14823081,0.054740531,0.069327933,0.124068465,0.441212285490918,0.697629827,0.787522258563065,60,"Latin America and the Caribbean"
"53",214,"Dominican Republic",2007.4,"Married/In-union","[Total]",8752.369943,2483.484652,157.567871,417.795506,649.692334,527.035517,616.137309,965.3045,7.216501,15416.59897,0.567723787,0.161091604,0.044406901,0.067066207,0.111473108,0.398364249429557,0.728815391,0.778967889551608,60,"Latin America and the Caribbean"
"54",214,"Dominican Republic",2013.66849315068,"Married/In-union","[Total]",2644.722108,994.52327,33.4657,186.411732,215.728503,166.761954,162.69783,340.706787,0,5064.91395,0.52216526,0.196355413,0.039532291,0.068927047,0.108459338,0.364489510345342,0.718520673,0.726722667310089,60,"Latin America and the Caribbean"
"55",214,"Dominican Republic",1999.79452054795,"Married/In-union","[Total]",374.798028,129.613068,11.705854,21.740045,41.305788,29.592075,37.836399,36.405414,0,728.407424,0.514544492,0.177940345,0.056696195,0.081790001,0.138486196,0.409399612651646,0.692484837,0.743040806827082,60,"Latin America and the Caribbean"
"56",231,"Ethiopia",2000.24863387978,"Married/In-union","[Total]",424.933819,365.829879,757.490637,1070.727478,2578.591393,775.378196,975.651372,1141.45263,0,9788.995278,0.043409339,0.037371545,0.156591028,0.209048916,0.365639944,0.428265649225677,0.080780884,0.537371428121534,67,"Africa"
"57",231,"Ethiopia",2005.48767123288,"Married/In-union","[Total]",723.998849,610.353415,620.559293,845.420182,2338.793583,883.450981,922.952084,696.570031,1.099852,9066.400675,0.079855157,0.067320366,0.165888353,0.195046781,0.360935134,0.459607107686003,0.147175523,0.542584496200499,67,"Africa"
"58",231,"Ethiopia",2011.20273972603,"Married/In-union","[Total]",1259.588687,1684.057235,374.954353,833.037642,2434.865863,634.440118,862.436926,689.55793,5.625417,10287.41206,0.122439801,0.163700766,0.098119378,0.164810601,0.262929979,0.373176837320631,0.286140567,0.427900882016495,67,"Africa"
"59",231,"Ethiopia",2016.2650273224,"Married/In-union","[Total]",1465.466951,2203.078121,263.327404,540.243868,2342.896824,690.718831,785.866924,729.417669,0,10223.25465,0.14334642,0.215496747,0.093321185,0.129715129,0.223036313,0.418412516530436,0.358843167,0.399468160975182,67,"Africa"
"60",266,"Gabon",2000.79781420765,"Married/In-union","[Total]",292.50776,803.883729,36.629472,253.850254,378.123252,236.159995,406.449451,502.866175,0,3348.045398,0.087366725,0.240105385,0.081477231,0.19721946,0.27869669,0.292350910231478,0.32747211,0.266791345986686,75,"Africa"
"61",266,"Gabon",2012.18306010929,"Married/In-union","[Total]",371.156048,1022.53307,67.094271,277.996176,631.796612,278.65189,560.16152,476.589865,14.12184,4474.857072,0.082942548,0.228506308,0.07726418,0.187303791,0.264567971,0.292039054115133,0.311448856,0.266311936621787,75,"Africa"
"62",270,"Gambia",2013.19452054795,"Married/In-union","[Total]",178.48368,430.402719,24.181407,308.559435,2081.631756,310.164857,1049.342699,1335.080416,13.035055,6791.18388,0.026281674,0.063376685,0.049232397,0.199950724,0.249183122,0.197575167229825,0.089658359,0.293131329784878,76,"Africa"
"63",288,"Ghana",1993.92054794521,"Married/In-union","[Total]",312,337,100,331,615,288,463,309,0,3204,0.097378277,0.105181024,0.121098627,0.247815231,0.368913858,0.328257191682943,0.202559301,0.480739598326319,79,"Africa"
"64",288,"Ghana",1999.00547945205,"Married/In-union","[Total]",303.945136,383.897649,84.19982,305.698824,497.443297,300.482049,397.312482,304.366995,0,3131.056313,0.097074312,0.122609628,0.122860093,0.224528477,0.34738857,0.353667632184905,0.21968394,0.441881696040229,79,"Africa"
"65",288,"Ghana",2003.72602739726,"Married/In-union","[Total]",405.964205,487.456682,152.873341,250.727699,544.507123,334.378204,485.540094,356.696289,0,3548.901442,0.114391513,0.137354246,0.137296443,0.207463579,0.344760022,0.398237713884355,0.251745759,0.454393009258202,79,"Africa"
"66",288,"Ghana",2008.78961748634,"Married/In-union","[Total]",323.379223,353.017893,110.596361,205.301447,450.931544,296.794932,413.222611,306.534128,2.172176,2876.319879,0.112428115,0.122732487,0.141636296,0.21504008,0.356676376,0.397100300245284,0.235160602,0.478090777297806,79,"Africa"
"67",288,"Ghana",2014.80547945205,"Married/In-union","[Total]",623.244309,796.220079,130.579648,277.451595,855.673807,536.302828,646.639072,500.818155,0,5321.485737,0.117118478,0.149623642,0.125318851,0.173652757,0.298971607,0.419166395958129,0.26674212,0.439070057627194,79,"Africa"
"68",320,"Guatemala",1995.69589041096,"Married/In-union","[Total]",1896.697331,609.613768,279.189536,418.336001,1639.55149,814.652631,729.557299,374.510528,0.667581,7983.564721,0.237575243,0.076358593,0.137011749,0.14378205,0.280793799,0.487944354497657,0.313933836,0.756768515388701,86,"Latin America and the Caribbean"
"69",320,"Guatemala",1999.10136986301,"Married/In-union","[Total]",1178.458836,336.266555,143.176348,227.872962,724.260039,375.264489,317.520601,177.817863,0,3963.815987,0.297304123,0.084834048,0.130793366,0.137593058,0.268386424,0.487332272812726,0.382138171,0.778001638051489,86,"Latin America and the Caribbean"
"70",320,"Guatemala",2015.15342465753,"Married/In-union","[Total]",5683.695949,3424.069485,263.029581,531.235958,1550.821692,570.123296,725.838744,694.284793,0,15024.16331,0.378303659,0.227904171,0.055454195,0.083670197,0.139124392,0.398594338511107,0.60620783,0.624049443571192,86,"Latin America and the Caribbean"
"71",324,"Guinea",1999.42739726027,"Married/In-union","[Total]",145.990282,200.413514,92.525615,286.026569,1414.659985,390.481408,611.010017,1088.968017,0,5561.212275,0.026251521,0.036037739,0.08685283,0.161302346,0.248155176,0.349994029542225,0.06228926,0.421445382398186,87,"Africa"
"72",324,"Guinea",2005.28493150685,"Married/In-union","[Total]",198.532484,373.904707,81.711679,247.631426,1709.129452,454.19453,595.239501,1223.472736,0,6291.552732,0.031555403,0.059429639,0.085178688,0.133968666,0.219147354,0.388682256232033,0.090985042,0.346819678337897,87,"Africa"
"73",324,"Guinea",2012.5956284153,"Married/In-union","[Total]",86.346151,289.249055,54.585285,261.478003,1941.005026,386.170059,890.317945,1303.392189,0,6726.248122,0.012837194,0.043003031,0.065527667,0.171238992,0.236766658,0.276760535260839,0.055840225,0.229891516375516,87,"Africa"
"74",328,"Guyana",2009.38082191781,"Married/In-union","[Total]",881.532192,358.83852,68.668761,64.727408,170.831505,488.338226,209.154813,221.3658,2.670909,2919.605971,0.30193533,0.122906489,0.190781562,0.09380794,0.284589502,0.670374559353915,0.424841819,0.710700586657643,89,"Latin America and the Caribbean"
"75",332,"Haiti",1994.74794520548,"Married/In-union","[Total]",361.312083,197.543133,413.810463,236.534435,419.553464,447.7769,292.030784,188.893494,0,3113.248554,0.116056292,0.063452413,0.276748659,0.169779319,0.446527978,0.619778989526161,0.179508705,0.646521805168167,90,"Latin America and the Caribbean"
"76",332,"Haiti",2000.32786885246,"Married/In-union","[Total]",1090.183919,582.175182,514.344593,446.748163,487.630393,917.728867,479.841328,361.331764,0,5958.10788,0.182974854,0.09771142,0.240357088,0.155517407,0.395874495,0.607154770099549,0.280686274,0.651883868036953,90,"Latin America and the Caribbean"
"77",332,"Haiti",2006.0904109589,"Married/In-union","[Total]",1166.33873,858.87621,394.772928,371.0276,592.864279,920.30522,675.236441,473.984745,7.425298,6323.087864,0.184457144,0.135831769,0.207980369,0.165467263,0.373447632,0.556919769141822,0.320288913,0.575908614108038,90,"Latin America and the Caribbean"
"78",332,"Haiti",2012.26229508197,"Married/In-union","[Total]",1643.947958,1050.042932,410.538991,450.765107,734.953503,1125.493397,772.31744,465.908446,3.814921,7808.235117,0.210540274,0.134478908,0.196719536,0.156640077,0.353359612,0.556711999106451,0.345019182,0.610227735106044,90,"Latin America and the Caribbean"
"79",340,"Honduras",2006.10136986301,"Married/In-union","[Total]",4923.797091,2651.54693,391.149125,418.730243,836.499136,631.826694,506.820306,506.883624,0,11612.8812,0.423994443,0.228328085,0.088089752,0.079700337,0.167790089,0.524999733446711,0.652322528,0.649976698336563,92,"Latin America and the Caribbean"
"80",340,"Honduras",2012.1393442623,"Married/In-union","[Total]",5778.255197,3629.156338,143.109884,375.596526,887.389122,425.796376,414.58261,606.614132,0,12846.62863,0.449787673,0.282498735,0.044284479,0.061508677,0.105793157,0.418594928592593,0.732286408,0.61422370821882,92,"Latin America and the Caribbean"
"81",356,"India",1992.92076502732,"Married/In-union","[Total]",31491.31519,2863.053976,1416.490319,2589.502758,12147.31296,5424.562644,7828.548474,1295.259071,6969.745417,84678.14756,0.371894238,0.033811013,0.080788883,0.123031166,0.203820049,0.396373582463421,0.405705251,0.916661140281864,95,"Asia"
"82",356,"India",1999.72054794521,"Married/In-union","[Total]",37879.0673,2966.9279,1386.277018,1917.813546,10767.42384,5236.760796,5091.130069,527.974683,7634.757757,84682.15524,0.44730873,0.035036046,0.078210549,0.082767657,0.160978206,0.485845574648782,0.482344776,0.927363065294191,95,"Asia"
"83",356,"India",2006.29863013699,"Married/In-union","[Total]",47963.08766,4475.041397,1395.633857,1534.887883,9591.772791,5886.381332,4133.467963,7059.370941,41.438152,93088.97811,0.515239168,0.048072731,0.078226395,0.060891804,0.1391182,0.562301661464855,0.563311899,0.914660544033706,95,"Asia"
"84",356,"India",2015.98904109589,"Married/In-union","[Total]",245940.7466,27864.92306,2696.80835,3305.743746,47193.40075,34157.63101,25570.89141,36157.69339,2.159604,511377.1583,0.480938076,0.054489964,0.072068998,0.056468371,0.128537369,0.560685180976436,0.53542804,0.898231022790663,95,"Asia"
"85",360,"Indonesia",1991.48767123288,"Married/In-union","[Total]",6538.526992,3948.378134,237.539233,526.648602,2366.299511,1534.163276,1298.404338,1329.262582,0,21108.95564,0.309751326,0.187047536,0.08393132,0.086458704,0.170390024,0.492583532942046,0.496798862,0.623494435460281,96,"Asia"
"86",360,"Indonesia",1994.70410958904,"Married/In-union","[Total]",8424.834538,5908.949832,285.531454,392.032116,2706.504909,1998.446168,1339.895015,1845.936363,0,26185.88788,0.321731865,0.22565398,0.087221699,0.066139714,0.153361413,0.56873301630313,0.547385845,0.587760659028368,96,"Asia"
"87",360,"Indonesia",1997.8301369863,"Married/In-union","[Total]",8653.875524,6784.477132,279.194134,341.576379,2448.7927,1787.754531,1246.58325,1966.409495,0,26885.6576,0.321877026,0.25234559,0.07687923,0.059070887,0.135950117,0.565495872283802,0.574222616,0.560543972026347,96,"Asia"
"88",360,"Indonesia",2003.03835616438,"Married/In-union","[Total]",10071.7588,6734.115754,193.794607,298.3871,2085.483405,2187.699714,1010.269433,1822.730181,36.454181,27857.31719,0.361548053,0.241735976,0.085489005,0.04697712,0.132466125,0.645365032003465,0.603284029,0.599299891295481,96,"Asia"
"89",360,"Indonesia",2007.71232876712,"Married/In-union","[Total]",11217.53521,7763.02516,220.806998,341.9295,2064.532402,2350.66848,1151.682634,2314.757989,17.222875,30931.29649,0.362659716,0.250976391,0.083135069,0.048288055,0.131423124,0.632575656929294,0.613636107,0.591001265836529,96,"Asia"
